zaxis,yaxis,Soilscience,Weeds_Control,Ecology_Mathematicalmodels,Plantdiseases,Veterinarymedicine,Dairying,Soils_Quality,Water_Waste,Water_waste,Agriculturalengineering,Foodcrops_Geneticengineering,Entomology,Insects_Physiology,Molecularecology,Forestsandforestry,Agriculture_Economicaspects,Pests_Control,Conservationbiology,Superconductors,Potatoes,Cropscience,Transportation_Research,Food_Safetymeasures,Geomorphology,Food_Analysis,Genomics,Semiconductors,Microbiology,Biotechnology,Molecularbiology_Methodology
Soilscience,Soilscience,28,10,3,6,2,3,12,5,5,4,2,2,2,1,4,4,2,3,0,3,4,1,0,3,1,1,0,0,1,0
Soilscience,Weeds_Control,10,10,0,4,0,1,6,0,0,1,2,0,2,0,0,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0
Soilscience,Ecology_Mathematicalmodels,3,0,3,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0
Soilscience,Plantdiseases,6,4,1,6,0,1,2,1,1,0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,1,1,0,0,1,0
Soilscience,Veterinarymedicine,2,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Soilscience,Dairying,3,1,0,1,1,3,0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Soilscience,Soils_Quality,12,6,1,2,0,0,12,2,2,2,1,2,1,0,1,1,1,2,0,2,1,0,0,2,1,0,0,0,0,0
Soilscience,Water_Waste,5,0,1,1,0,0,2,5,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Soilscience,Water_waste,5,0,1,1,0,0,2,5,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Soilscience,Agriculturalengineering,4,1,1,0,1,2,2,1,1,4,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Soilscience,Foodcrops_Geneticengineering,2,2,0,2,0,1,1,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
Soilscience,Entomology,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Soilscience,Insects_Physiology,2,2,0,2,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Soilscience,Molecularecology,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Soilscience,Forestsandforestry,4,0,1,0,0,0,1,1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Soilscience,Agriculture_Economicaspects,4,0,1,0,1,0,1,1,1,1,0,0,0,1,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Soilscience,Pests_Control,2,2,0,2,0,1,1,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
Soilscience,Conservationbiology,3,0,0,0,1,0,2,0,0,0,0,1,0,1,1,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0
Soilscience,Superconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soilscience,Potatoes,3,2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Soilscience,Cropscience,4,3,1,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,1,0
Soilscience,Transportation_Research,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Soilscience,Food_Safetymeasures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soilscience,Geomorphology,3,0,2,0,0,0,2,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Soilscience,Food_Analysis,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Soilscience,Genomics,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Soilscience,Semiconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soilscience,Microbiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soilscience,Biotechnology,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Soilscience,Molecularbiology_Methodology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Soilscience,10,10,0,4,0,1,6,0,0,1,2,0,2,0,0,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0
Weeds_Control,Weeds_Control,10,25,3,12,1,2,9,0,0,2,2,4,8,0,3,0,5,0,0,6,6,0,0,0,2,0,0,1,0,0
Weeds_Control,Ecology_Mathematicalmodels,0,3,3,1,0,0,1,0,0,1,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Plantdiseases,4,12,1,12,0,1,2,0,0,0,2,3,6,0,1,0,4,0,0,4,3,0,0,0,1,0,0,1,0,0
Weeds_Control,Veterinarymedicine,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Dairying,1,2,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Weeds_Control,Soils_Quality,6,9,1,2,1,1,9,0,0,2,1,1,3,0,2,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0
Weeds_Control,Water_Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Water_waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Agriculturalengineering,1,2,1,0,0,0,2,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Foodcrops_Geneticengineering,2,2,0,2,0,1,1,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
Weeds_Control,Entomology,0,4,2,3,0,0,1,0,0,1,0,4,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Weeds_Control,Insects_Physiology,2,8,2,6,1,1,3,0,0,1,1,2,8,0,3,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0
Weeds_Control,Molecularecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Forestsandforestry,0,3,2,1,1,1,2,0,0,1,0,2,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Agriculture_Economicaspects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Pests_Control,2,5,1,4,0,1,1,0,0,0,2,1,3,0,1,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0
Weeds_Control,Conservationbiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Superconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Potatoes,2,6,0,4,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
Weeds_Control,Cropscience,3,6,0,3,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0
Weeds_Control,Transportation_Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Food_Safetymeasures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Geomorphology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Food_Analysis,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0
Weeds_Control,Genomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Semiconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Microbiology,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Weeds_Control,Biotechnology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_Control,Molecularbiology_Methodology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Soilscience,3,0,3,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0
Ecology_Mathematicalmodels,Weeds_Control,0,3,3,1,0,0,1,0,0,1,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Ecology_Mathematicalmodels,3,3,24,3,1,0,3,3,3,3,0,4,3,5,7,2,2,5,0,1,2,0,1,4,0,1,0,4,3,3
Ecology_Mathematicalmodels,Plantdiseases,1,1,3,3,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,2,1
Ecology_Mathematicalmodels,Veterinarymedicine,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Dairying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Soils_Quality,1,1,3,0,0,0,3,1,1,2,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ecology_Mathematicalmodels,Water_Waste,1,0,3,0,0,0,1,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ecology_Mathematicalmodels,Water_waste,1,0,3,0,0,0,1,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ecology_Mathematicalmodels,Agriculturalengineering,1,1,3,0,0,0,2,2,2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ecology_Mathematicalmodels,Foodcrops_Geneticengineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Entomology,0,2,4,1,0,0,2,0,0,1,0,4,3,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Insects_Physiology,0,2,3,1,0,0,1,0,0,1,0,3,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Molecularecology,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
Ecology_Mathematicalmodels,Forestsandforestry,1,2,7,1,0,0,1,0,0,1,0,2,2,3,7,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
Ecology_Mathematicalmodels,Agriculture_Economicaspects,1,0,2,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Ecology_Mathematicalmodels,Pests_Control,0,1,2,1,0,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Conservationbiology,0,0,5,0,0,0,0,0,0,0,0,1,1,4,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
Ecology_Mathematicalmodels,Superconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Potatoes,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
Ecology_Mathematicalmodels,Cropscience,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1
Ecology_Mathematicalmodels,Transportation_Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Food_Safetymeasures,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Geomorphology,2,0,4,0,0,0,1,2,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0
Ecology_Mathematicalmodels,Food_Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Genomics,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Ecology_Mathematicalmodels,Semiconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology_Mathematicalmodels,Microbiology,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,3
Ecology_Mathematicalmodels,Biotechnology,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,3,1
Ecology_Mathematicalmodels,Molecularbiology_Methodology,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,3
Plantdiseases,Soilscience,6,4,1,6,0,1,2,1,1,0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,1,1,0,0,1,0
Plantdiseases,Weeds_Control,4,12,1,12,0,1,2,0,0,0,2,3,6,0,1,0,4,0,0,4,3,0,0,0,1,0,0,1,0,0
Plantdiseases,Ecology_Mathematicalmodels,1,1,3,3,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,2,1
Plantdiseases,Plantdiseases,6,12,3,22,0,1,2,2,2,0,2,5,8,1,1,1,7,1,0,6,5,0,0,0,1,2,0,3,2,1
Plantdiseases,Veterinarymedicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Dairying,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Plantdiseases,Soils_Quality,2,2,0,2,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Plantdiseases,Water_Waste,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Water_waste,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Agriculturalengineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Foodcrops_Geneticengineering,2,2,0,2,0,1,1,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
Plantdiseases,Entomology,0,3,1,5,0,0,0,0,0,0,0,5,2,1,1,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0
Plantdiseases,Insects_Physiology,2,6,1,8,0,0,1,0,0,0,1,2,8,1,1,0,4,1,0,3,1,0,0,0,1,0,0,0,0,0
Plantdiseases,Molecularecology,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Plantdiseases,Forestsandforestry,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Agriculture_Economicaspects,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Pests_Control,2,4,1,7,0,1,1,0,0,0,2,3,4,1,1,0,7,1,0,0,2,0,0,0,1,1,0,0,0,0
Plantdiseases,Conservationbiology,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Plantdiseases,Superconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Potatoes,0,4,1,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,1
Plantdiseases,Cropscience,3,3,1,5,0,1,1,0,0,0,1,2,1,1,0,0,2,1,0,0,5,0,0,0,0,1,0,0,1,0
Plantdiseases,Transportation_Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Food_Safetymeasures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Geomorphology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Food_Analysis,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Plantdiseases,Genomics,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0
Plantdiseases,Semiconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantdiseases,Microbiology,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1
Plantdiseases,Biotechnology,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,1
Plantdiseases,Molecularbiology_Methodology,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
Veterinarymedicine,Soilscience,2,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Veterinarymedicine,Weeds_Control,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Ecology_Mathematicalmodels,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Plantdiseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Veterinarymedicine,2,1,1,0,21,12,1,0,0,2,5,0,1,3,1,1,0,1,0,1,0,1,0,0,0,4,0,0,0,1
Veterinarymedicine,Dairying,1,1,0,0,12,12,1,0,0,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Soils_Quality,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Water_Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Water_waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Agriculturalengineering,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Foodcrops_Geneticengineering,0,0,0,0,5,3,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1
Veterinarymedicine,Entomology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Insects_Physiology,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Molecularecology,1,0,0,0,3,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,1
Veterinarymedicine,Forestsandforestry,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Agriculture_Economicaspects,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Veterinarymedicine,Pests_Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Conservationbiology,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Veterinarymedicine,Superconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Potatoes,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Cropscience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Transportation_Research,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Veterinarymedicine,Food_Safetymeasures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterinarymedicine,Geomorphology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
